,ID,text,labels
7400,1374767574936862721t,   If you believe that then I am sorry . You dont make a vaccine and then sell it at 5 x the cost to SA than EU or Asian nations . The Publicity Astra have created with lie after lie - as just made people reluctant to have a vaccine . Astra / Oxf have shown again they cant be trusted,pharma
9580,1339349827017031680t,Mfs finna act like they're immune to all viruses after getting the Covid vaccine like ,none
2589,1328103483812302855t," I believe I read it on one of Pfizer ’ s partner sites , they mention that the Pfizer vaccine will take a long time to be effective . How does that make any sense if they didn ’ t have a long time to test it 😂",rushed
4711,1338373165697949698t,"Im not anti - vaccine per se but I refuse to take one for a virus which I have a 99.9 % of surviving , from people who believe the world is overpopulated and have a murderous track record . Might as well be playing Russian roulette .",unnecessary
6818,1332169873338806272t,  Why would they inject people with the whole virus .,ingredients
9046,1387496066719825920t,"The European slaves would rather die of Covid than let in this Russian Trojan horse disguised as a vaccine . The American emperor is thrilled by our sacrifice and will reward our leaders by decorating them with The Cookie Medal , specially created for them by Fuck the EU Vic Nuland",side-effect
4530,1432361715530878976t,New Zealand reports death of woman after Pfizer COVID vaccine – Fintech Zoom ,side-effect
606,1230736235192209410t, This is utterly snake oil at this point . The spike region is where the gene is significantly different from other coronavirus & apparently is subject to frequent mutation that would render the vaccine ineffective . Add that a 2nd infection with COVID - 19 is much WORSE than the 1st .,ineffective
5071,1326597228069330951t, Boris Johnson has said today the vaccine will not stop Lockdowns . It was never about a virus Julia . That does not exist . That was the false flag .,political
8492,1365790902262890503t,Will we have to be vaccinated to get food ? ? ? Will we have to be LEFTISTS to get food ? DON'T let Amazon run grocery stores into the ground !,political
3318,1262003747326132226t,"  There won ’ t be a vaccine . There are hundreds of corona viruses , COVID 19 is but one nasty opportunistic one . SARS was 2003 / 2004 , no vaccine for COVID 19 ’ s predecessor either . Human behavior must change . And evolution as well as adaptation must take place . Get sunlight and hydrate !",unnecessary
5721,1336655934500769793t,"This why I don ’ t fuck with #FluShot anymore , got very sick 3 different times ! UK regulator warns that people with ' significant ' allergies should not receive Pfizer / BioNTech vaccine ",side-effect
4092,1363920931270381572t,  Because 70 + million idiots have been ignoring protocols from the jump & don't need further encouraging The vaccine is not a silver bullet / panacea Trumps gone now can common sense be returned to these conversations please,ineffective
2356,1325876500420300802t,    Pfizer is heavily funded by Bill Gates . “ Nonsense ” because you don ’ t agree with it . Open your mind and don ’ t be so ignorant . Open ignorance enabled the Nazi ’ s - with your political views I ’ m sure that comment will go down a treat .,pharma
7990,1414682017912999940t,"        Rare ! In between your two jabs the vaccine has less effectivity , until 2weeks after final dose , and may not stop virus replication in your body , in that case the virus could mutate in same way as unvaxed person could breed mutation ! Thats hell of a lot different to your view !",ineffective
5937,1370067433814425606t,BREAKING NEWS : ( NOT DISCLOSED IN BRITISH MAINSTREAM MEDIA TO IT'S PUBLIC . Increasing Scientific concerns about high rate ofADVERSE REACTIONS ( ARs ) & incidences of fatalities ) JUST IN : Norway & Denmark suspend Oxford - AstraZeneca COVID - 19 vaccine rollout .  ,side-effect
4365,1343972196448919552t,"* It is known that the British government has granted Pfizer legal protection from prosecution as a result of any damage or side effects as a result of this vaccine , including death .. This is published here in British newspapers : *  .",side-effect
1836,1368527251709497351t,   It's for depopulation . Professor John Bell of Oxford Astra Zenica admitted that 60 - 70 % of people taking it will become sterile and once you take the vaccine you can't be unvaccinated .,conspiracy side-effect
8614,1376676350820515841t,We must not comply with the Chinese - inspired vaccine “ passports ” under any circumstances . We all know what they ’ re really for . I will not comply .,mandatory
8168,1311349900660158465t, Why do you think you can inflict a vaccine on the population ? Why is your whole plan based on that ? Flu is killing so many more people and we don ’ t lock down for that and only the vulnerable have the vaccine that is not alway successful . What ’ s so special about this virus ?,ineffective mandatory unnecessary
5486,1374824930974560262t,I totally agree ! I don't think they are taking the Covid vaccine also . 👇 👇 👇,none
1136,1288233326642253825t,"Bill Gates is full of shit , why do we have someone who is not a doctor in charge of finding a vaccine ? America is looking really stupid right about now .",pharma
5008,1447874368600674305t,In fact Iceland has banned Moderna for ALL ages - NOBODY gets another dose of Moderna gene therapy for #COVID19 ( aka #vaccine ) in Iceland . ,side-effect
5373,1439742149894025216t," I had COVID 19 in Aug 2020 , tested positive for antibodies and got both Moderna doses . However , I'm reading that the vaccine only lasts 6 months & u can still get COVID even if vaccinated . So what r the reasons 4 mandating the vaccine ? What is the logic ?",ineffective mandatory
7352,1365783482585280515t," I know , but even a third of U . S soldiers don ’ t want this vaccine along with so healthcare workers . Don ’ t know the situation here mind .",none
6278,1376933203261468682t,My government has turned me into an anti vaccer . My life is worth it . I am saying no to the astra vaccine . If I wait for the masses we will be at 80 % vaccinated anyway 🤦 ‍ ♀ ️ 🤷 ‍ ♀ ️ #halifax,political
486,1352935053936963584t,"California stops distribution of Moderna vaccine amid allergic reaction fears  A few allergic reactions is better than tons of dead but Newsom wants them so he can say itis Trump's fault . I say Newsom is a serial killer , jail him",side-effect
3578,1365820023739138049t, Hey look ! Another vaccine I refuse to take !,none
8827,1373322444832915458t,"Boring at this stage I know but I still can't understand why normal healthy people would take a vaccine that has no data re risks for a flu that has a 99.5 % survival rate , I know no one who has died from covid irl but I do know people who are unwell from the vaccine , also irl .",unnecessary
65,1377392417192599553t," I know someone who's step dad died after getting the vaccine . And nobody seems to care that it'll be long term effects with it . How you gonna get injected with something and you don't know what's in it . Also , it's experimental , it was made in 9 months compared to a usual 4 years .",rushed side-effect
8640,1343423791284723712t, My spouse was forced to have that anthrax vaccine . We're well informed and a hard no on first gen covid vax .,rushed
5469,1314338496212078592t," That ’ s nice ! However not close enough ! ! Oh and are they not trying to create a Covid vaccine ? ? Not sure I trust them ! ! Wait , I know I don ’ t ! !",pharma
7519,1302328082066440195t," There will be no truly effective Covid vaccine either , flu vaccines are hard .",ineffective
358,1342339367059255296t," I don ’ t mean 2sound like a conspiracy theorist , but their study design was awful & now it is becoming apparent they are not being truthful about their information . & Slaoui still owns millions in stock in Moderna . He was allowed to keep it bc he said he would work as czar for free",pharma
9015,1333424538089103360t,  How did Moderna ’ s vaccine go from 95 % effective to 100 % ? I question all the vaccine results after AstraZeneca found an error in their trial . When a trial happens this quickly I wonder if the other 2 studies were error free . 🤭,rushed
5929,1303169626163953665t,"People really , really ! cannot fault Democrats or the public for having doubts about a COVID vaccine or Trump's sudden push to have one released . This administration has worked for 4 years to discredit our institutions and he is trying to make this a campaign issue .",political rushed
9449,1375428481362853890t,  If one of your family members died in a mass vaccination would you still be pro vaccine ?,side-effect
8963,1417629450036985861t,"Macron and Johnson are consciously raising infection numbers to FORCE people into vaccination , THIS is right ring radicalism , not if Melenchon opposes the pass sanitaire .",mandatory
4579,1438880280652259331t,"6 / The Israelis were convinced that the efficacy of the  #vaccine was waning over time , especially in people over 60 years of age . They felt there was a clear decrease 6 mos after full vax . MORE ",ineffective
1845,1264198524742205440t, WE THE PEOPLE REJECT MODERNA'S GENE EDITING VACCINE.The transformation of our genes would carry on to future generations by sperm + eggs ! ,side-effect
6742,1343169530382741504t,"    People have died during the Pfizer trials , passed out during the roll out and had horrible reactions . A rushed out vaccine we don't need ",rushed side-effect
3739,1300137273745436672t,"   And for the record Ricky baby no scientist has ever made a functioning vaccine for any coronavirus not SARS not MERS not even for the common cold , there is no vaccine !",ineffective
7887,1355498839470448650t,   More people died in 2019 than 2020 in ireland so bullshit pandemic ... the moderna vaccine has already been stopped in California due to its high mortality rate and my plan is simple go back to normal more people drown under 65 than die from coronavirus,side-effect
632,1376317429681422342t,Anyone notice that's it the rich and affluent that are telling us to get the vaccine ? Just an observation .,none
8029,1289300993612681217t," No matter what you do ,  will frig the stats so we have another lockdown and then force Bill Gates ' vaccine on you . All part of ID2020 & 1 world government . This bozo can't even stop migrants being ferried from France . What makes you think he wants to protect the UK ?",conspiracy mandatory
9911,1333394490279673857t,"Don't go by the 100 % efficacies of Moderna . Vaccines also come with a lot of side effects . Higher the percentage , more the possibility of long lasting side effects",side-effect
7189,1354156362167705603t, WHO warns pregnant women NOT to take Moderna Covid - 19 vaccine ,none
6543,1347819106435624962t,", ... & NOT ONLY the CHINESE vaccine ... , which THE CHINESE THEMSELVES DON'T COMPLETELY trust ( January 9 , 2021 ; 13 : 26 HKT ) #SINOVAC #FAIL",country
8734,1252695106332823552t," In my view , Oxford knows they are in a "" win - win "" position . Government coughed up the cash already & they already have the SARS candidate to play with . Govt only want a vaccine * promise * to be dangled in front of us all like a carrot on a stick , to keep us happy & moving forward .",pharma political
1902,1287595778928709633t," Well Matt , why don't you make an example of yourself ! Why don't you take the first injection of the vaccination , prove to everyone it's safe !",side-effect
10,1338566157062660098t,If u don ’ t need 2 wear a 😷 u don ’ t need the vaccine . #mondaythoughts #MondayMorning #CovidVaccine ,none
5302,1251539913410899968t, SARS and MERS both waned on their own . Why would COVID - 19 be different ? Fauci control leading down wrong path ? Fauci supported fast track of Gates backed Moderna experiential vaccine which was ready almost immediately . What are Fauci / Gates / WHO up to ?,pharma rushed
7553,1374319899657580553t,That's because they're going to bump the price up by a 1000 % but your body will need it's new virus update ! ! Vaccine 2.0 and beyond ! ! !,pharma
5656,1333580672393502723t,"  You have not seen anything yet until  know all about the Covid 19 vaccine . Moderna , this vaccine in my opinion is the Mark of the Beast . It will alter your DNA / RNA . Like someone in the movie The Matrix . Part human part robot . It will program your entire body and can be program",conspiracy side-effect
7354,1350906035389739009t,Still queuing up for the experimental stick in the arm ? #Genocide 23 die in Norway after receiving Pfizer Covid - 19 vaccine - New York Post ,side-effect
8818,1403676363517743105t,California Woman Who Got Both Moderna Vaccine Shots Dies of COVID - 19 : Officials - The Epoch Times ,ineffective
5429,1376376200508145664t," Simply , mass distribution of a “ vaccine ” that doesn ’ t kill the virus , can lead to a mass asymptomatic spread which is more than likely to mutate to a VERY lethal virus immune to current treatments .",side-effect
2744,1424717830000365574t,"  Your doctors and scientists are all getting their cues from Pfizer , which plays down and doesn't even mention many hospitalizations and deaths . It's part of the campaign to get everyone vaxxed . The fact remains people are being hospitalized and some are dying .",pharma side-effect
4817,1355514933358723076t, Also we have seen that trial vaccine is not acceptable at all . Although it is having lots of side effects too,rushed side-effect
4939,1296001697685344262t,"    Obviously you can ’ t fully comprehend what this virus is and how it ’ s working ? There are many Coronavirus out there , there ’ s never been a vaccine created for 1 of them ! Why would they suddenly find 1 for Covid 19 ? Plus there ’ s multiple strains already of Covid 19 !",ineffective
5841,1372915979131482112t,Blood clotting side effects Covid RNA Vaccine that 21 countries have determined to be unsafe is being shipped Canada to help fight a virus that is 99.9 % survivable for anyone outside of an LTC ,side-effect
6302,1400751253274177542t," There never was any point to the vaccine , unless you fancy a game of Russian roulette .",none
8368,1368600383237591041t," "" Informed consent "" Definition . ' Permission granted in full knowledge of the possible risks , benefits and consequences ' . This is not possible with an experimental , novel ' vaccine ' that is still in trial phases . No long - term data . Risk > Reward . < 0 % covid risk for healthy < 40y . o .",rushed unnecessary
2885,1349098974590992384t,"‘ Very healthy ’ Miami obstetrician , 56 , dies 16 days after receiving Pfizer COVID - 19 vaccine | News | LifeSite ",side-effect
1186,1339795696786935808t, Sucks for y ’ all taking the vaccine then,none
4208,1337580201560125442t,Why are they rushing this vaccine out ? COVID - 19 : Four Pfizer vaccine volunteers develop Bell's palsy - Read details here ,rushed side-effect
3524,1284832883849469952t,"   Oxford Uni was lamenting that the virus wasn't creating enough cases for it to test its vaccine . ( Why do we even need a vaccine in that case ? ) . But test it they must ( mega £ £ £ profits at stake ) , so off to the usual guinea pig testing ground : Africa .",pharma
8184,1374411028633587712t,"  Thats how most vaccines work . No matter if its malaria , flu or covid , x amount of people will have an adverse affect to vaccinated vaccine . If Millions are having it done at the same time , QUE media scare , followed by a moron saying what you just did",side-effect
1188,1375513022223945728t,I don ’ t need the vaccine . Nothing more nothing less,unnecessary
6255,1358573972153987074t,Great ... so the Majority of Australians will be given a COVID - 19 Vaccine #AstraZeneca that will not protect us from the Virulent Strains of the Virus ! #LNPfail #auspol,ineffective
3930,1285928619487965185t,"    What ’ s in the vaccines ? People have the right to know .  Do u work with  ? IF SO , that needs to be disclosed .   Have you & / or your family members received the vaccine ? How ‘ bout you start there & let us know how it goes .",ingredients pharma side-effect
6654,1328795953336348681t,  Can't wait to see your anti - vax voters react to you pushing this tracking chip injection on them . This is obviously because of the new world order trying to inject Tennessee with their poison to bring on the apocalypse governor !,conspiracy ingredients
9531,1371761156348653569t,    Stupid question . The answer is why would I need a forced untested vaccine when my immune system is so good ? The only people wh will benefit are the pharma companies and the government ministers who have shares in them . 99.9 % recovery rate from covid,mandatory pharma rushed
7455,1394573979537580032t,"Hal Turner Radio Show - BREAKING NEWS - URGENT - Connecticut Publishes Moderna COVID Vax Ingredients : DEADLY POISON "" SM - 102 - Not for Human or Veterinary Use "" ",ingredients
3808,1327548296391483392t,"WHO worried young people won't want Covid vaccine I think you will find that it is not just young people who will resist . Trust in the government and scientific advisers is low and we do not know the long term detrimental effects , if any of the vaccine . ",ineffective
2906,1329097028845105155t, Please everyone research Pfizer ’ s history of corrupt business practices before you make a decision to put something in your body from this organization .  They are currently under investigation for even more FCPA violations . ,pharma
9851,1414369196599820288t,  I might look into it . I had problems with the Moderna and with COVID .,side-effect
4788,1398635221763960832t,  So the answer is no : 3 More “ severe ” side effects does not mean that one is more protected than those who did not experience them or have any . Everyone ’ s immune system is different . Some are more sensitive and mount a different response . Pfizer ’ s vaccine has been known to produce,side-effect
6030,1361025982925320194t,"     it ’ s not the same thing , every country has Covid , me and my family all had Covid . Your obviously not aware that Pfizer stated the Vaccine will not stop you getting Covid or Spreading it !",ineffective
2226,1355271903645200388t, No one vaccine can be side - effect free . Most vaccines deliver ' reactogenic ' side - effects Effective supplements to take when you suspect you have COVID - 19 to avoid any complications ,side-effect
6600,1334791339318403072t,We don't know what the injuries from the #Pfizer vaccine might be .,side-effect
4078,1312753920658169856t,    The flu vaccines change every season and differ between hemispheres . I never take them . This daily ? weekly ? Covid - 19 ' vaccine ' is a whole different ball park .,none
9156,1338721824033693697t,"  I won't either bec it is unnecessary , so why take the chance !",unnecessary
5273,1298293608773308417t,Wake the FUCK up people ! You are being duped . This vaccine makes you MORE susceptible to the virus just like the flu shot did with COVID too ,side-effect
1173,1333512630477217808t,"  This is a Massive Global plan , check to see what's in the Pfizer Vaccine , and a Law has been passed that we can not sue then",none
160,1339056505040080896t,Dandy ' ' ' 😜 . Now Asia is getting cold feet . Waiting for the West to be guinea pigs ? Dream on . Does anyone at all want this cursed vaccine ? 😅 Even Pfizer's CEO won't chance it . White House won't touch it . Army exempted . Start digging those landfills . Toxic garbage .,rushed
2847,1262248848304427010t, Vaccine from China ? Uh no frickin way . Will wait for Oxford !,country
8269,1305641565621301250t, This vaccine has not been tested #g6pd deficiency . It is unsafe . #COVID19 #Covid_19 #astrazeneca #oxfordvaccine,rushed
2757,1326082037757964289t,#BioNTech is set to make around 3billion from this #vaccine . Big pharma doesn ’ t give a shit about you lol . It ’ s all about the monehhh ,pharma
8983,1355482281935319043t," The pro - big pharma , pro - experimental gene - based injection therapy line is a major problem with GBD . Even the most vocal dissenting respectables must apparently agree that the Almighty Vaccine is beyond question or reproach .",pharma rushed
3847,1354915875376263168t,Tiffany Dover is unfortunately dead after the Covid Vaccine - ,side-effect
4182,1326843993561440260t,"And there it is . B . S . all about profiteering from PR . Vaccine our ass . Only 3 manufacturers & only 3 with proper vaccines : Moderna , Gilead , and CanSino Biologics . Rest are snake oil salesmen that haven ’ t gone through proper trial phases but the accelerated kind . 😂 😆",pharma rushed
5380,1223220756978577409t,"                                                  Actually we ( the pro - Vaccine advocates on this thread ) are all very much aware that autism isn ’ t a vaccine injury , not at all . So we know #vaccines don ’ t cause #austim You are suggesting what exactly are vaccine injuries ?",side-effect
9794,1352971207277076484t, He will get a job at Pfizer for sure if he wants one . Pfizer ’ s cover story for its vaccine killing oldsters and causing convulsions in healthy people is some rubbish about manufacturing problems . Any public official that echoes the story gets brownie points,side-effect
3564,1330189034967199746t, Covid - 19 Vaccine - AstraZeneca . Look at the ingredients ! Would you take this ? Not me ! ! ! ,ingredients
1972,1354484552102772744t,"plan will see enormous numbers of people infected , and enormous numbers of people very sick , and large numbers dying . The Oxford vaccine only has 70 % efficacy , so up to a third of vulnerable people will still be susceptible to disease . But more than this - we should be aiming not",ineffective side-effect
5134,1280110948976558080t," "" ... no vaccine or drug has been approved to prevent or treat COVID - 19 yet . "" They're available ! Why not approved ? Time for a class - action lawsuit against medical entities who knowingly hide the cure ! #HCQ",pharma
1482,1292442503510134786t, People should be more shocked that AstraZeneca has magiced up a product liability exemption for a rushed vaccine . ,rushed
3867,1442586749511864320t,"Spain is investigating three people who had blood clots after getting the now - controversial AstraZeneca coronavirus vaccine — including a teacher who died of a brain hemorrhage , authorities announced . ",side-effect
5053,1327259017018814467t,They hyping up those numbers to enforce a lockdown then next is the push of vaccines .. Pfizer gotta 90 % effective vaccine lined up to push on y ’ all ... basically gone be a test dummy,rushed
8242,1337492702934441984t,California nurse who took part in Pfizer vaccine trial describes illness after receiving shot | Fox News  This is just the beginning we'll be hearing side effects from people taking the vaccine ! ! !,side-effect
8064,1288146789795794945t,"  Not really , vaccine is not a guarantee to give an immunity .",ineffective
7795,1304207514414743555t,‘ Promising ’ and ‘ safe ’ Moderna vaccine trial causes severe adverse events | Alliance For Natural Health ,ineffective
3204,1413082831652331520t,"Third Australian , 61 , dies from blood disorder after taking the AstraZeneca coronavirus vaccine | Daily Mail Online ",side-effect
2206,1376977221211017219t,"This is true . Just because you have a right to do something , doesn ’ t mean you should . As for this liberal who harbors a lot of libertarian views , a vaccine passport per se should be left up to the private sector . Government should not interfere in any way .",mandatory political
3800,1285217143915782144t,"* Can train immune system * Look at the above word "" train "" . Doesn't that scare you ? Can train to do one thing & untrain another ? And development in such short time ? There are nine different strains right now . Why haven't Glaxo or Pfizer made progress ? ",side-effect
5562,1289314988490919942t,"    Also you must acknowledge efficacy is not 100 % . To be clear there really on 2 vaccines I'm 100 % against against HPV vaccine , flu vaccine and covid 19 vaccine ? ( EXTREMELY skeptical about that one ) . HPV is not very effective only blocks certian strains and has too many sode effects",ineffective side-effect
401,1340006590624239617t,"All these TV doctors on #MSNBC extolling these miracle vaccines against the COVID virus are NOT telling you that we still do not have enough vaccine to innoculate even 80 % of Americans . More likely we may have enough for 50 % by June / July , and I will not take the Astra - Zeneca shot",none
4974,1338679680593842176t," Love it how the "" news "" keeps on touting the brand names "" the Pfizer vaccine , delivered by FedEx "" like it's a big never ending non stop commercial .",pharma
6735,1375451872727867395t,"When I first read the analysis of the AstraZeneca vaccines side effects it was a 52 page document it is now a 70 page document #AstraZeneca #vaccine #COVID19 the benefits do not out weigh the risks for me at all , I ’ ll be staying unvaccinated",side-effect unnecessary
7429,1433148588595597312t,"Otherwise healthy BBC host complained of headaches , scans later found haemorrhage on brain , inquest told There have been 417 cases of blood clotting after AstraZeneca vaccine out of nearly 50m doses administered .",side-effect
1290,1299556906801954816t,I ’ m glad the vaccine deal with China collapsed . Who the hell wants a vaccine developed by the Chinese ?,country
8181,1329395373723578371t,"By God ’ s grace , I recovered from the Chinese virus in April . It was a terrible experience . Yet I WILL NOT TAKE A COVID - 19 VACCINE . Thanks . God bless .",none
4266,1359309669324496904t,   How do know grandma hasn't had a vaccine or had Covid and is immune ... you don't,none
2028,1331103390676381699t,So Pfizer come out and say they ’ ve got a vaccine and within the week two other companies say “ oh we ’ ve got a vaccine ” 🙋 🏼 ‍ ♀ ️ “ we ’ ve got a vaccine ” 🙋 🏼 ‍ ♀ ️ . Big coincidence all these vaccine ’ s are ready within a week of each other ? !,rushed
2000,1340030313678815233t,   One of the covid vaccines was shown to make the test monkeys asymptomatic carriers . Meaning they still got infected and they spread it around . Ask yourself what ’ s the point then ? ,ineffective
2924,1302446835735252992t, STOP the LIES . STOP the Fearmongering . STOP the Brainwashing . STOP the Propaganda . STOP carrying #Fauci ’ s WATER paid for by Bill Gates . #NoMasks #NoVaccines,pharma
5884,1285965230644908032t,"#Plandemic #NoMask #novaccines Remember to pay in cash on Friday particularly for petrol at express stores as they won't be able to refuse entry to make payment , make it as awkward for the numb skulls as possible .",conspiracy
4237,1355925804421533698t,"  I am mostly interested in "" severe "" illness in SA arm ... which no one has disclosed . In Novavax , there was just 1 severe case in placebo arm ... yet everyone concluded vaccine prevents severe illness .",side-effect
1990,1325917044135571456t,    Do you think Pfizer would spend millions of dollors creating a vaccine this quick if there wasnt a 1.95 billion dollar payday for 100 million vaccination from the government ?,pharma
5798,1328386432952569858t, Moderna quarantees the vaccine will cure 100 % ? Why does a person need to have many injections for it to work ?,ineffective
5691,1326162476174630915t,     Great Pfizer is admitting when they fund scientists and universities to do studies it comes w strings to show the results they want ... I ’ m sure they didn ’ t want the government or anyone to see what a scam their covid vaccine research and production is in terms of safety,conspiracy pharma
378,1307246318574735360t,"It seems government is planning to force the so called COVID vaccine on its citizens , even before conclusive evidence , making us to suspect the possibilities of huge bribes from pharma industry .",pharma
1978,1266237510927048710t,FLASH REVIEW REPORT : Italian Politician Demand Bill Gates Arrest For Crimes Against Humanity | #digitalplatform #digitalID #GatesGlobalFund #GlaxoSmithKline #RanieriGuerra #Ricciardi #virologist #Sanofi #DTP #GMOs #Monsanto #mRNAvaccines #immunesystem #5G #genocide #health #US,side-effect
2977,1295390865225990144t," Pfizer saved my life last time . This time , it won't work . Oh well .",ineffective
1992,1435501919053574145t,    You are right about the fading protection offered by Pfizer @ 5 - 6 months though . Another thing that would have been fixed with a diversified vaccine supply .,ineffective
4466,1454205909341806596t,"  But ofc Pfizer makes money both ways , from selling the vaccine and then selling the drugs to treat the heart problems it causes . So they won ’ t care . Especially when the government has given them legal immunity .",pharma
2167,1329735596546338816t, Have you stopped to think about the long term effects of introducing these ingredients into your #DNA just B / C your government tells you to ? Why ⁉ ️ ⁉ ️ Oh & did u know that you have no legal recourse for any & all harm done by a #CovidVaccine ? #PrepAct,ingredients side-effect
5163,1364605761515569153t, Not sure about the 98.9 % effectiveness at preventing death as that's exactly the same mortality as someone who isn't vaccinated at all ( ~ 1 % ) Surely they don't mean that ? Are the % ages compounded in some way ?,ineffective
9873,1311931836877230081t,"1 / Since vaccines are liability - free – and effectively compulsory to a captive market of 76 million children – there is little market incentive for companies to make them safe . The public must rely on the moral scruples of Merck , GlaxoSmithKline , Sanofi , and Pfizer .",mandatory
8131,1330975472126222343t,.  says she also never really wanted the Oxford vaccine anyway ...,none
7996,1354567341489717254t,"Zimbabwean government officials got the Covid vaccine for themselves ( first ) & 4 have died , and some are critically ill . The media is reporting they died as a result of Covid and don't mention the vaccine . ",side-effect
9116,1312628135683190786t,"Trump recently said America is “ rounding the corner ” in making progress against COVID - 19 . Redfield wants to crush any optimism among the American people , at least until Big Pharma can get their experimental vaccines stuck into people . ",rushed
1770,1331058812418207744t,Do not take the #COVID vaccine without doing your own research . Don ’ t put something in your body because the government says to . Don ’ t allow them to make it mandatory . That ’ s called “ tyranny ” .,mandatory
2619,1339506300795953153t, Pfizer are used to manipulating the data to suit . Some of us are acutely aware of their previously misdemeanors with the Zoloft data . More than 300 families are trying to get justice for the deaths and damage caused . Now the governments have absolved them from all liability .,pharma political side-effect
9854,1344764677121855489t,ER Nurse Infected by #COVID - 19 Eight Days After Getting #Vaccine | Dec 30 | #vaccines - Health care workers are chiming in after a nurse from San Diego tested positive for COVID - 19 over a week after receiving the COVID - 19 vaccine made by Pfizer . ,ineffective
9690,1334278647067373568t," Ged I ’ m not anti vax , had all recommended , but every vaccine I had completed its long term side effects trials , covid vaccines hasn ’ t , Pfizer vaccine is also mRNA , which has never been approved before for vaccines , that ’ s two unknown risks . It personal choice but I won ’ t have it",rushed side-effect
6540,1378221862879039488t," 1 ) Covid itself has not killed hundreds of thousands 2 ) vaccine is only approved for emergency use 3 ) vaccine is new RNA tech 4 ) this is NOT a killer virus , the death rate is . 02 % ... just for starters",unnecessary
2507,1350922024969879552t, I think - for a healthy person - the chance of significant side - effects from the Pfizer vaccine are greater than the Infection Fatality Rate of Covid,side-effect
622,1302966076985102338t,  Why would we need a vaccine when Hydroxychloroquine cures COVID - 19 ? Say no to the poisonous vaccines ! ,ingredients unnecessary
9053,1301463465022885888t,"EXCELLENT thread on a potential Covid vaccine . I will get a flu shot , but NOT a rushed vaccine from a such an irresponsible administration who has politicised the CDC and the vaccine .",political rushed
